stage,stage_id,case_id,pitch_cp_0,pitch_cp_1,pitch_cp_2,pitch_cp_3,pitch_cp_4,pitch_cp_5,chord_cp_0,chord_cp_1,chord_cp_2,chord_cp_3,chord_cp_4,failed
initial,0,46,1.115627,0.8008917864916859,0.661047,0.40246860280176855,0.1880409406041668,0.58371,0.243763,0.807091,0.17965565358794902,0.655507,0.150825,0
initial,0,47,1.132688,0.3449901239001623,0.599694,0.2698780992985705,0.25191206743700334,0.421013,0.26467,0.500316,0.26013877620218223,0.67384,0.117514,1
initial,0,48,1.046062,0.07876803281930733,0.372885,0.3787465805752028,0.4498742243836994,0.596995,0.27722,0.669131,0.2411010335963906,0.502341,0.101286,0
initial,0,49,1.053164,0.6931489234104884,0.48018,0.3409665355599974,0.17752785166339008,0.406017,0.242394,0.846372,0.30551087271501487,0.42405,0.25182,0
initial,0,50,1.229494,0.38433251615778957,0.533859,0.43706215869334003,0.3886455934867062,0.588421,0.292693,0.589591,0.22136556789826284,0.417079,0.234488,1
initial,0,51,1.000579,0.5728466955918695,0.715369,0.17881471077380645,0.49596130183231024,0.425817,0.240816,0.642547,0.4052930184722366,0.471725,0.225729,1
initial,0,52,0.836113,0.633648230939887,0.709221,0.3438256299365195,0.4410913144154684,0.668608,0.27213,0.595449,0.1711885560901542,0.512908,0.172022,0
initial,0,53,0.815297,0.7684328624960024,0.451004,0.4444456306671792,0.2333958642033883,0.48977,0.29535,0.768678,0.2647867467987799,0.526937,0.279961,0
initial,0,54,0.95603,0.9661936617339013,0.743485,0.15687594270120406,0.3958280335792419,0.512836,0.201712,0.606731,0.28051821372881713,0.555375,0.183795,0
initial,0,55,0.898738,0.15836428853573575,0.586929,0.46616810056388513,0.3363279628995975,0.641552,0.255308,0.837751,0.15997729692654905,0.569892,0.214713,0
initial,0,56,0.855073,0.9416086925404691,0.389808,0.2652087276168292,0.34560368488095705,0.545731,0.206864,0.712397,0.33751661605797956,0.410017,0.229085,0
initial,0,57,1.111815,0.5327862310668493,0.523125,0.37714973451327427,0.16437719989493046,0.468362,0.201215,0.560182,0.15180095442639593,0.49123,0.193046,0
initial,0,58,0.972143,0.5242031800344507,0.579252,0.4811729692218976,0.15359930243860603,0.572957,0.257054,0.469417,0.4949785750308099,0.488015,0.282422,0
initial,0,59,1.10149,0.09825801480687418,0.491348,0.36529556742223396,0.29308463277993574,0.483721,0.220764,0.788019,0.4499635124486465,0.619355,0.237662,0
infill1,1,0,1.131922431,1.0,0.75,0.15,0.5,0.7,0.3,0.45,0.15,0.4335779619,0.3,1
infill1,1,1,1.162482108,1.0,0.75,0.15,0.5,0.7,0.2983498596,0.45,0.15,0.4714188859,0.3,1
infill1,1,2,1.100602792,1.0,0.75,0.3198182306,0.5,0.7,0.2082230822,0.45,0.4495768555,0.4784434117,0.3,1
infill1,1,3,1.195449862,1.0,0.35,0.15,0.5,0.7,0.3,0.45,0.15,0.4111909435,0.3,1
infill1,1,4,1.228280884,1.0,0.75,0.5,0.5,0.7,0.2821697559,0.7046372332,0.3002099457,0.4093387194,0.3,1
infill1,1,5,1.047445735,1.0,0.35,0.3643000545,0.5,0.7,0.2578221837,0.5599433037,0.15,0.4067352378,0.3,0
infill1,1,6,1.039729664,0.8734160394,0.35,0.15,0.5,0.4,0.2,0.45,0.15,0.4,0.1,0
infill1,1,7,1.004485454,0.8001100867,0.35,0.5,0.5,0.4,0.3,0.45,0.5,0.7,0.1,1
infill1,1,8,1.204929231,1.0,0.35,0.5,0.15,0.7,0.2,0.45,0.15,0.4,0.3,0
infill1,1,9,0.8,0.6931233774,0.35,0.15,0.5,0.4,0.3,0.85,0.15,0.4,0.3,0
infill1,1,10,0.9550018947,0.7172876666,0.35,0.15,0.15,0.4,0.3,0.85,0.15,0.7,0.3,1
infill1,1,11,1.169228759,1.0,0.35,0.5,0.5,0.7,0.3,0.5791997804,0.4820508667,0.4130689164,0.3,0
infill1,1,12,1.094948791,1.0,0.5670723505,0.5,0.5,0.7,0.3,0.7754554154,0.403786813,0.4246047397,0.3,0
infill1,1,13,1.199620648,1.0,0.35,0.5,0.5,0.7,0.3,0.4731965322,0.2502750111,0.4783126938,0.2836210072,0
infill1,1,14,1.061902725,1.0,0.35,0.5,0.5,0.7,0.3,0.45,0.15,0.4446218924,0.3,0
infill1,1,15,1.25,1.0,0.5437263567,0.5,0.5,0.7,0.3,0.45,0.2910838981,0.4942251377,0.2270986992,0
infill1,1,16,1.029645698,1.0,0.35,0.4450421225,0.5,0.7,0.3,0.7538080572,0.5,0.4429099343,0.1,0
infill1,1,17,1.091851676,0.9030567482,0.7498686807,0.15,0.5,0.4,0.2,0.85,0.1703434656,0.4,0.1,1
infill1,1,18,1.044817033,0.8235166759,0.75,0.3384955411,0.5,0.4,0.2988756397,0.85,0.383374885,0.4,0.1,1
infill1,1,19,1.187830401,1.0,0.35,0.5,0.413752328,0.4,0.2,0.45,0.5,0.4,0.2117369237,0
infill1,1,20,1.25,1.0,0.35,0.5,0.15,0.6678593012,0.2,0.85,0.5,0.4150448747,0.1308038499,0
infill1,1,21,0.8,0.6979121183,0.75,0.5,0.5,0.4,0.2,0.85,0.15,0.7,0.1,1
infill1,1,22,1.25,1.0,0.35,0.2633639717,0.15,0.4,0.2,0.45,0.3509794113,0.7,0.1,1
infill1,1,23,1.097210488,1.0,0.3822865123,0.5,0.5,0.7,0.2428723949,0.6462154993,0.5,0.4,0.1,0
infill1,1,24,1.179230378,1.0,0.396087311,0.5,0.5,0.7,0.2514271289,0.5724117613,0.5,0.4353469391,0.1,0
